,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,38.206326,b'management',b'married',b'secondary',b'no',1403.6993,b'no',b'no',b'cellular',15.149376,b'jul',375.98077,1.567965,-0.7917352,0.05575493,b'success',0
1,38.537876,b'management',b'married',b'secondary',b'no',2229.8066,b'no',b'no',b'cellular',15.46069,b'jul',460.8416,1.5859714,-0.78001475,0.06946623,b'success',0
2,39.376404,b'management',b'married',b'secondary',b'no',2646.4417,b'no',b'no',b'cellular',14.918999,b'jul',506.48505,1.7180777,-0.7095363,0.11771396,b'success',0
3,38.3269,b'management',b'married',b'secondary',b'no',1671.7471,b'no',b'no',b'cellular',15.203862,b'jul',394.0605,1.505953,-0.8147862,0.042125583,b'success',0
4,38.35664,b'management',b'married',b'secondary',b'no',2063.352,b'no',b'no',b'cellular',15.057079,b'jul',425.54282,1.6965089,-0.7530916,0.069031864,b'success',0
5,39.04518,b'housemaid',b'married',b'primary',b'no',226.6419,b'no',b'no',b'cellular',15.0890045,b'jul',341.68872,1.473464,-0.8564443,0.054148585,b'success',0
6,35.63088,b'housemaid',b'married',b'primary',b'no',-918.6989,b'no',b'no',b'cellular',13.871334,b'jul',305.95578,1.3609253,-0.9017118,0.027565036,b'success',0
7,36.45347,b'housemaid',b'married',b'secondary',b'no',-37.026917,b'no',b'no',b'cellular',14.755128,b'jul',362.96274,1.409096,-0.8767926,0.04555136,b'success',0
8,37.18905,b'housemaid',b'married',b'primary',b'no',394.0056,b'no',b'no',b'cellular',14.785966,b'jul',365.6785,1.4923369,-0.85634035,0.05434528,b'success',0
9,39.293713,b'management',b'married',b'secondary',b'no',2515.2883,b'no',b'no',b'cellular',14.663624,b'jul',448.6394,1.7241826,-0.5823269,0.12686029,b'success',0
10,38.696102,b'management',b'married',b'secondary',b'no',1170.004,b'no',b'no',b'cellular',14.5101595,b'jul',387.96503,1.6541457,-0.59856915,0.12502447,b'success',0
11,38.568302,b'management',b'married',b'secondary',b'no',2259.1628,b'no',b'no',b'cellular',15.208906,b'jul',458.55884,1.8040975,-0.7509606,0.08600503,b'success',0
12,41.456383,b'management',b'married',b'secondary',b'no',5174.4653,b'no',b'no',b'cellular',15.165247,b'jul',601.58545,2.402907,-0.03497553,0.34018457,b'success',0
13,36.965374,b'management',b'married',b'secondary',b'no',720.8941,b'no',b'no',b'cellular',14.771697,b'jul',393.62372,1.5459769,-0.7989857,0.06009862,b'success',0
14,38.30663,b'management',b'married',b'secondary',b'no',1353.2456,b'no',b'no',b'cellular',15.404299,b'jul',423.84015,1.5684122,-0.68427634,0.1009047,b'success',0
15,36.257362,b'housemaid',b'married',b'secondary',b'no',-23.010187,b'no',b'no',b'cellular',14.598901,b'jul',355.50656,1.3372446,-0.8402281,0.04542023,b'success',0
16,38.01033,b'management',b'married',b'secondary',b'no',971.8166,b'no',b'no',b'cellular',14.832908,b'jul',455.9952,1.7364386,-0.6835487,0.08031726,b'success',0
17,38.999268,b'management',b'married',b'secondary',b'no',2592.6265,b'no',b'no',b'cellular',14.864997,b'jul',468.01816,1.7549254,-0.63367844,0.1243934,b'success',0
18,39.139503,b'management',b'married',b'secondary',b'no',2274.2727,b'no',b'no',b'cellular',15.14821,b'jul',481.8826,1.8945372,-0.56520104,0.12691766,b'success',0
19,37.474262,b'management',b'married',b'secondary',b'no',1474.0193,b'no',b'no',b'cellular',15.08756,b'jul',430.0609,1.5230594,-0.80901694,0.065778196,b'success',0
20,38.303288,b'management',b'married',b'secondary',b'no',1568.4402,b'no',b'no',b'cellular',14.52732,b'jul',404.94974,1.6001879,-0.79176116,0.060541183,b'success',0
21,39.22419,b'management',b'married',b'secondary',b'no',2284.915,b'no',b'no',b'cellular',15.252863,b'jul',457.3545,1.871895,-0.61197877,0.11812374,b'success',0
22,38.555157,b'management',b'married',b'secondary',b'no',1008.71967,b'no',b'no',b'cellular',15.124746,b'jul',399.4602,1.5219488,-0.77603865,0.102724135,b'success',0
23,39.578484,b'management',b'married',b'secondary',b'no',2780.7625,b'no',b'no',b'cellular',14.739462,b'jul',486.69867,1.909417,-0.3317542,0.16038045,b'success',0
24,39.21691,b'management',b'married',b'secondary',b'no',1766.6045,b'no',b'no',b'cellular',14.660816,b'jul',477.9471,1.8716639,-0.5259857,0.15759394,b'success',0
25,38.54367,b'management',b'married',b'secondary',b'no',1814.7308,b'no',b'no',b'cellular',13.883676,b'jul',471.21628,1.7499087,-0.6946714,0.08543134,b'success',0
26,38.61201,b'management',b'married',b'secondary',b'no',1069.8647,b'no',b'no',b'cellular',14.713878,b'jul',409.3182,1.6869875,-0.55633926,0.12542605,b'success',0
27,36.96762,b'housemaid',b'married',b'secondary',b'no',1.1629275,b'no',b'no',b'cellular',14.573285,b'jul',341.70734,1.3249719,-0.90694255,0.032876827,b'success',0
28,40.040337,b'management',b'married',b'secondary',b'no',3467.6118,b'no',b'no',b'cellular',14.758555,b'jul',514.4105,2.1081123,-0.1660831,0.21514371,b'success',0
29,35.443855,b'housemaid',b'married',b'secondary',b'no',-1029.3622,b'no',b'no',b'cellular',14.50455,b'jul',307.9891,1.304826,-0.93519485,0.016725019,b'success',0
30,40.232365,b'management',b'married',b'secondary',b'no',2741.519,b'no',b'no',b'cellular',14.782682,b'jul',514.53,2.1155846,-0.1471641,0.23040399,b'success',0
31,38.65713,b'management',b'married',b'secondary',b'no',2683.8796,b'no',b'no',b'cellular',14.938892,b'jul',496.94318,1.9139514,-0.5041821,0.14100596,b'success',0
32,38.48718,b'management',b'married',b'secondary',b'no',2081.9055,b'no',b'no',b'cellular',15.233127,b'jul',489.5081,1.7966253,-0.64771175,0.131163,b'success',0
33,38.41756,b'management',b'married',b'secondary',b'no',1515.0519,b'no',b'no',b'cellular',14.522275,b'jul',381.64972,1.5078635,-0.8187883,0.058016926,b'success',0
34,38.63722,b'housemaid',b'married',b'secondary',b'no',2078.4653,b'no',b'no',b'cellular',15.08645,b'jul',448.442,1.6533586,-0.7745054,0.076924264,b'success',0
35,36.64309,b'management',b'married',b'secondary',b'no',1325.2745,b'no',b'no',b'cellular',15.005797,b'jul',372.49536,1.3366553,-0.89908683,0.025039868,b'success',0
36,37.631947,b'management',b'married',b'secondary',b'no',1119.6521,b'no',b'no',b'cellular',15.124499,b'jul',403.3139,1.5709492,-0.6950612,0.08388236,b'success',0
37,37.743378,b'management',b'married',b'secondary',b'no',1869.5864,b'no',b'no',b'cellular',14.624041,b'jul',396.51712,1.6117233,-0.840384,0.06939247,b'success',0
38,40.229156,b'management',b'married',b'secondary',b'no',5132.655,b'no',b'no',b'cellular',15.15704,b'jul',630.1701,2.589226,0.37149692,0.3675662,b'success',0
39,36.19645,b'housemaid',b'married',b'primary',b'no',159.90321,b'no',b'no',b'cellular',14.597193,b'jul',328.68964,1.3818196,-0.90270257,0.02982473,b'success',0
40,38.524807,b'management',b'married',b'secondary',b'no',1364.9382,b'no',b'no',b'cellular',14.553475,b'jul',448.51364,1.6198349,-0.49646378,0.09354502,b'success',0
41,39.85478,b'management',b'married',b'secondary',b'no',4097.6426,b'no',b'no',b'cellular',14.71527,b'jul',567.00433,2.3378959,0.26661086,0.32184273,b'success',0
42,37.802532,b'management',b'married',b'secondary',b'no',1401.3785,b'no',b'no',b'cellular',14.092405,b'jul',405.37714,1.511036,-0.75002503,0.071228296,b'success',0
43,38.946835,b'management',b'married',b'secondary',b'no',3172.407,b'no',b'no',b'cellular',14.841037,b'jul',491.56824,1.948059,-0.63115764,0.0839971,b'success',0
44,40.87188,b'management',b'married',b'secondary',b'no',4208.4897,b'no',b'no',b'cellular',14.962935,b'jul',543.41736,2.2487755,-0.053478718,0.3005013,b'success',0
45,37.642365,b'management',b'married',b'secondary',b'no',757.00604,b'no',b'no',b'cellular',14.915566,b'jul',397.01205,1.5891882,-0.7832372,0.05573854,b'success',0
46,37.980705,b'management',b'married',b'secondary',b'no',1436.9226,b'no',b'no',b'cellular',14.758953,b'jul',397.42963,1.6209288,-0.79895973,0.040527433,b'success',0
47,40.612896,b'management',b'married',b'secondary',b'no',4538.828,b'no',b'no',b'cellular',14.887089,b'jul',604.34357,2.1357398,-0.15519428,0.29850155,b'success',0
48,38.842644,b'management',b'married',b'secondary',b'no',1597.7407,b'no',b'no',b'cellular',14.76857,b'jul',448.32782,1.6649716,-0.74916744,0.0836283,b'success',0
49,37.956818,b'management',b'married',b'secondary',b'no',1877.9242,b'no',b'no',b'cellular',15.037907,b'jul',431.49655,1.717721,-0.53328824,0.12143478,b'success',0
